1010,0000,1001,1001,1001,1001,1001,1001,0001,0101,0100,0101,0101,0101,0101,0101
1000,0000,1001,1001,1001,1001,1001,1001,0001,0001,0000,0001,0001,0001,0001,0001
1000,0000,1001,1001,1001,1001,1001,1001,0001,0001,0000,0001,0001,0001,0001,0001
1010,0000,1001,1001,1001,1001,1001,1001,0001,0101,0100,0101,0101,0101,0101,0101
1000,0000,1001,1001,1001,1001,1001,1001,0001,0001,0000,0001,0001,0001,0001,0001
0000,0000,0001,0001,0000,0001,0000,0000,0000,0100,0100,0100,0000,0000,0000,0000
0000,0000,0000,0001,0000,0001,0000,0000,0000,0000,0100,0000,0100,0000,0000,0000
0000,0000,0000,0001,0000,0001,0000,0000,0000,0000,0100,0000,0100,0000,0000,0000
0000,0000,0001,0001,0001,0000,0000,0000,0000,0100,0000,0000,0000,0000,0000,0000
0000,0000,0000,0001,0000,0001,0000,0000,0000,0000,0100,0000,0100,0000,0000,0000
