0010,0000,0001,0001,0000,0000,0000,0000,0000,0101,0101,0001,0001,0001,0001,0001
0000,0110,1001,0011,0011,0001,1000,0101,0000,1001,0101,0000,0000,0110,0100,0110
1010,0111,0010,0000,1001,0001,0111,1110,0010,0110,0000,1101,0100,1000,1010,1010
0010,0000,0001,0001,0000,0000,0000,0000,0000,0101,0101,0001,0001,0001,0001,0001
1000,0000,0001,0001,0001,0000,0001,0001,0001,0100,0001,0100,0000,0000,0000,0000
0000,0000,0001,0001,0001,0000,0001,0001,0001,0100,0001,0100,0000,0000,0000,0000
0010,0000,0001,0001,0000,0000,0000,0000,0000,0101,0101,0001,0001,0001,0001,0001
0000,0000,0001,0001,0000,0000,0000,0000,0000,0001,0001,0001,0001,0001,0001,0001
0000,0000,0001,0001,0000,0000,0000,0000,0000,0001,0001,0001,0001,0001,0001,0001
0000,0000,0001,0001,0000,0000,0000,0000,0000,0001,0001,0001,0001,0001,0001,0001
