1010,1000,1001,1001,1000,1000,1000,1000,0000,0101,0101,0001,0001,0001,0001,0001
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
1000,1000,1001,1001,1000,1000,1000,1000,0000,0001,0001,0001,0001,0001,0001,0001
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
0000,0000,0000,0000,0000,0000,0010,0010,0010,0010,0010,0010,0010,0010,0010,0010
1000,1000,1001,1001,1000,1000,1000,1000,0000,0001,0001,0001,0001,0001,0001,0001
